,Season and Name,Nominal damage (Billions USD),Areas affected,ID,Date,Event,Status,Latitude,Longitude,Maximum Wind,Minimum Pressure
49,1998 Georges,$9.3,The Caribbean United States Gulf Coast,AL071998,19980922,L, HU,18.2N,68.7W,105,962
50,1998 Georges,$9.3,The Caribbean United States Gulf Coast,AL071998,19980923,L, HU,20.1N,74.5W,65,993
51,1998 Georges,$9.3,The Caribbean United States Gulf Coast,AL071998,19980925,L, HU,24.5N,81.8W,90,981
52,1998 Georges,$9.3,The Caribbean United States Gulf Coast,AL071998,19980928,L, HU,30.4N,88.9W,90,964
53,2001 Allison,$9.0,Texas Louisiana Southern United States,AL012001,20010605,L, TS,28.9N,95.3W,45,1003
54,2001 Allison,$9.0,Texas Louisiana Southern United States,AL012001,20010611,L, SD,29.6N,91.6W,30,1004
55,2008 Gustav,$8.3,Hispaniola Jamaica Cuba Louisiana,AL072008,20080826,L, HU,18.1N,72.8W,70,992
56,2008 Gustav,$8.3,Hispaniola Jamaica Cuba Louisiana,AL072008,20080828,L, TS,18.0N,76.2W,60,984
57,2008 Gustav,$8.3,Hispaniola Jamaica Cuba Louisiana,AL072008,20080829,L, TS,17.9N,77.2W,60,987
58,2008 Gustav,$8.3,Hispaniola Jamaica Cuba Louisiana,AL072008,20080830,L, HU,21.6N,82.5W,125,943
59,2008 Gustav,$8.3,Hispaniola Jamaica Cuba Louisiana,AL072008,20080830,L, HU,22.4N,83.1W,135,941
60,2008 Gustav,$8.3,Hispaniola Jamaica Cuba Louisiana,AL072008,20080901,L, HU,29.2N,90.7W,90,954
61,2004 Jeanne,$7.9,The Caribbean Eastern United States,AL112004,20040914,L, TD,16.2N,61.3W,30,1009
62,2004 Jeanne,$7.9,The Caribbean Eastern United States,AL112004,20040915,L, TS,18.0N,66.0W,60,991
63,2004 Jeanne,$7.9,The Caribbean Eastern United States,AL112004,20040916,L, HU,18.6N,68.3W,70,985
64,2004 Jeanne,$7.9,The Caribbean Eastern United States,AL112004,20040925,L, HU,26.7N,77.3W,100,956
65,2004 Jeanne,$7.9,The Caribbean Eastern United States,AL112004,20040926,L, HU,27.2N,80.2W,105,950
66,1999 Floyd,$6.5,The Bahamas Eastern United States Atlantic Canada,AL081999,19990914,L, HU,25.4N,76.3W,105,930
67,1999 Floyd,$6.5,The Bahamas Eastern United States Atlantic Canada,AL081999,19990914,L, HU,26.3N,77.1W,110,932
68,1999 Floyd,$6.5,The Bahamas Eastern United States Atlantic Canada,AL081999,19990916,L, HU,33.8N,78.0W,90,956
69,1998 Mitch,$6.1,Central America Yucatán Peninsula South Florida,AL131998,19981029,L, HU,15.9N,85.7W,70,987
70,1998 Mitch,$6.1,Central America Yucatán Peninsula South Florida,AL131998,19981104,L, TS,20.1N,90.5W,35,998
71,1998 Mitch,$6.1,Central America Yucatán Peninsula South Florida,AL131998,19981105,L, TS,26.2N,81.9W,50,989
72,2003 Isabel,$5.5,Greater Antilles The Bahamas Eastern United States Ontario,AL132003,20030918,L, HU,34.9N,76.2W,90,957
73,1996 Fran,$5.0,Eastern United States Ontario,AL061996,19960906,L, HU,33.9N,78.0W,100,954
